"stock_id","ticker","price","previous_close","change_percent","volume","market_cap","pe_ratio","company_name","timestamp","trend","price_formatted","time","diff"
"AAPL_1750269762","AAPL","196.38","195.64","0.38","19842675","2933092515840","30.588785","Apple Inc.","2025-06-18T14:02:42.193606","up","$196.38","1750269761040","1"
"GOOGL_1750269762","GOOGL","175.65","175.65","0.0","13373358","2138450821120","19.603794","Alphabet Inc.","2025-06-18T14:02:42.193624","flat","$175.65","1750269761040","1"
"AMZN_1750269762","AMZN","215.53","214.82","0.33","18896348","2288152739840","35.102608","Amazon.com, Inc.","2025-06-18T14:02:42.193637","up","$215.53","1750269761040","1"
"MSFT_1750269762","MSFT","479.43","478.04","0.29","6438496","3563382636544","37.02162","Microsoft Corporation","2025-06-18T14:02:42.193617","up","$479.43","1750269761040","1"
"JPM_1750269762","JPM","274.92","269.52","2.0","5029443","764027469824","13.489697","JP Morgan Chase & Co.","2025-06-18T14:02:42.193537","up","$274.92","1750269761040","1"
"TSLA_1750269762","TSLA","323.68","316.2821","2.34","67596764","1042560319488","186.02298","Tesla, Inc.","2025-06-18T14:02:42.193631","up","$323.68","1750269761040","1"
"NFLX_1750269762","NFLX","1224.895","1220.67","0.35","1401705","521279799296","57.99692","Netflix, Inc.","2025-06-18T14:02:42.193661","up","$1224.89","1750269761040","1"
"META_1750269762","META","698.525","697.23","0.19","4365998","1756322463744","27.296797","Meta Platforms, Inc.","2025-06-18T14:02:42.193652","up","$698.52","1750269761040","1"
"META_1750269823","META","698.15","697.23","0.13","4387646","1755379662848","27.282143","Meta Platforms, Inc.","2025-06-18T14:03:43.667842","up","$698.15","1750269822538","1"
"GOOGL_1750269823","GOOGL","175.615","175.95","-0.19","13390598","2138024837120","19.59989","Alphabet Inc.","2025-06-18T14:03:43.667829","down","$175.62","1750269822538","1"
"MSFT_1750269823","MSFT","479.14","478.04","0.23","6459288","3561227288576","36.99923","Microsoft Corporation","2025-06-18T14:03:43.667824","up","$479.14","1750269822538","1"
"AMZN_1750269823","AMZN","215.3796","214.82","0.26","18968160","2286555758592","35.07811","Amazon.com, Inc.","2025-06-18T14:03:43.667838","up","$215.38","1750269822538","1"
"JPM_1750269823","JPM","274.87","269.52","1.99","5038574","763888402432","13.487243","JP Morgan Chase & Co.","2025-06-18T14:03:43.666167","up","$274.87","1750269822538","1"
"AAPL_1750269823","AAPL","196.18","195.64","0.28","19912382","2930105122816","30.55763","Apple Inc.","2025-06-18T14:03:43.667810","up","$196.18","1750269822538","1"
"NFLX_1750269823","NFLX","1224.85","1220.67","0.34","1403489","521260630016","57.99479","Netflix, Inc.","2025-06-18T14:03:43.667847","up","$1224.85","1750269822538","1"
"TSLA_1750269823","TSLA","323.27","316.2821","2.21","67930219","1041239703552","185.78735","Tesla, Inc.","2025-06-18T14:03:43.667834","up","$323.27","1750269822538","1"
"AMZN_1750269884","AMZN","215.315","214.82","0.23","19030054","2285870252032","35.067593","Amazon.com, Inc.","2025-06-18T14:04:44.992959","up","$215.31","1750269884038","1"
"NFLX_1750269884","NFLX","1224.95","1220.67","0.35","1406978","521303195648","57.999523","Netflix, Inc.","2025-06-18T14:04:44.992966","up","$1224.95","1750269884038","1"
"MSFT_1750269884","MSFT","479.01","478.04","0.2","6478805","3560261025792","36.98919","Microsoft Corporation","2025-06-18T14:04:44.992945","up","$479.01","1750269884038","1"
"AAPL_1750269884","AAPL","196.18","195.64","0.28","19960553","2930105122816","30.55763","Apple Inc.","2025-06-18T14:04:44.992932","up","$196.18","1750269884038","1"
"JPM_1750269884","JPM","274.98","269.52","2.03","5050745","764194193408","13.4926405","JP Morgan Chase & Co.","2025-06-18T14:04:44.992564","up","$274.98","1750269884038","1"
"TSLA_1750269884","TSLA","323.2647","316.2821","2.21","68159999","1041222729728","185.78432","Tesla, Inc.","2025-06-18T14:04:44.992955","up","$323.26","1750269884038","1"
"GOOGL_1750269884","GOOGL","175.6169","175.95","-0.19","13416720","2138047905792","19.6001","Alphabet Inc.","2025-06-18T14:04:44.992951","down","$175.62","1750269884038","1"
"META_1750269884","META","698.0","697.23","0.11","4408505","1755002437632","27.27628","Meta Platforms, Inc.","2025-06-18T14:04:44.992963","up","$698.00","1750269884038","1"
"NFLX_1750269947","NFLX","1222.2493","1220.67","0.13","1423474","520153858048","57.871647","Netflix, Inc.","2025-06-18T14:05:47.621960","up","$1222.25","1750269947042","1"
"META_1750269947","META","697.83","697.23","0.09","4430117","1754575011840","27.269636","Meta Platforms, Inc.","2025-06-18T14:05:47.621953","up","$697.83","1750269947042","1"
"AAPL_1750269947","AAPL","196.26","195.64","0.32","20051312","2931299975168","30.570093","Apple Inc.","2025-06-18T14:05:47.621892","up","$196.26","1750269947042","1"
